t,ax,ay,az,gx,gy,gz
0.5228347778320312,-0.1867477294921875,0.19632453613281248,9.80665,0.0010652644360316954,0.0,0.0010652644360316954
0.5228757858276367,-0.181959326171875,0.2059013427734375,9.80665,0.0,0.0,0.0010652644360316954
0.522899866104126,-0.181959326171875,0.2059013427734375,9.80665,0.0,0.0,0.0010652644360316954
0.5229220390319824,-0.1867477294921875,0.19632453613281248,9.801861596679688,0.0,0.0,0.0010652644360316954
0.5229449272155762,-0.1867477294921875,0.19632453613281248,9.801861596679688,0.0,0.0,0.0010652644360316954
0.5229671001434326,-0.1867477294921875,0.201112939453125,9.80665,0.0010652644360316954,0.0,0.0010652644360316954
0.5229928493499756,-0.1867477294921875,0.201112939453125,9.80665,0.0010652644360316954,0.0,0.0010652644360316954
0.5230159759521484,-0.181959326171875,0.201112939453125,9.80665,0.0,-0.0010652644360316954,0.0010652644360316954
0.5230410099029541,-0.181959326171875,0.201112939453125,9.80665,0.0,-0.0010652644360316954,0.0010652644360316954
0.5230667591094971,-0.1867477294921875,0.201112939453125,9.801861596679688,0.0,0.0,0.0010652644360316954
0.5230898857116699,-0.1867477294921875,0.201112939453125,9.801861596679688,0.0,0.0,0.0010652644360316954
0.5231118202209473,-0.181959326171875,0.201112939453125,9.80665,0.0,0.0,0.0
0.5231339931488037,-0.181959326171875,0.201112939453125,9.80665,0.0,0.0,0.0
0.5231528282165527,-0.1867477294921875,0.19632453613281248,9.80665,0.0,-0.0010652644360316954,0.0010652644360316954
0.523176908493042,-0.1867477294921875,0.19632453613281248,9.80665,0.0,-0.0010652644360316954,0.0010652644360316954
0.6235179901123047,-0.181959326171875,0.2059013427734375,9.80665,0.0010652644360316954,-0.0010652644360316954,0.0010652644360316954
0.6235568523406982,-0.181959326171875,0.2059013427734375,9.80665,0.0010652644360316954,-0.0010652644360316954,0.0010652644360316954
0.6235709190368652,-0.181959326171875,0.19632453613281248,9.80665,0.0,0.0,0.0
0.6235828399658203,-0.181959326171875,0.19632453613281248,9.80665,0.0,0.0,0.0
0.6235940456390381,-0.1867477294921875,0.201112939453125,9.80665,0.0,-0.0010652644360316954,0.0010652644360316954
